2022-02-10 14:17:50.084757 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:18:52.683699 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:19:54.780967 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:20:56.898633 Humidity: 22.0 %rH, Temperature: 25.4 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:21:59.481164 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:23:01.667411 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:24:04.290012 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:25:06.414938 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:26:08.489721 Humidity: 22.0 %rH, Temperature: 25.36 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:27:10.582516 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:28:12.791090 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:29:14.928858 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:30:17.073761 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:31:19.794948 Humidity: 22.0 %rH, Temperature: 25.32 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:32:21.929092 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:33:23.997827 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:34:26.536739 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:35:28.602790 Humidity: 22.0 %rH, Temperature: 25.29 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:36:31.229418 Humidity: 22.0 %rH, Temperature: 25.26 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:37:33.497990 Humidity: 22.0 %rH, Temperature: 25.26 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:38:35.588149 Humidity: 22.0 %rH, Temperature: 25.26 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:39:37.642123 Humidity: 22.0 %rH, Temperature: 25.26 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:40:39.724473 Humidity: 22.0 %rH, Temperature: 25.26 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:41:42.415819 Humidity: 22.0 %rH, Temperature: 25.23 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:42:44.537269 Humidity: 22.0 %rH, Temperature: 25.23 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:43:46.666111 Humidity: 22.0 %rH, Temperature: 25.23 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:44:48.822923 Humidity: 22.0 %rH, Temperature: 25.23 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:45:51.488700 Humidity: 22.0 %rH, Temperature: 25.23 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:46:53.580735 Humidity: 22.5 %rH, Temperature: 25.2 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:47:55.715314 Humidity: 22.5 %rH, Temperature: 25.2 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:48:57.832143 Humidity: 22.5 %rH, Temperature: 25.2 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:49:59.873658 Humidity: 22.5 %rH, Temperature: 25.2 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:51:01.999437 Humidity: 22.5 %rH, Temperature: 25.2 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:52:04.112447 Humidity: 22.5 %rH, Temperature: 25.17 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:53:06.313835 Humidity: 22.5 %rH, Temperature: 25.17 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:54:08.380601 Humidity: 22.5 %rH, Temperature: 25.17 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:55:10.524900 Humidity: 22.5 %rH, Temperature: 25.17 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:56:12.636543 Humidity: 22.5 %rH, Temperature: 25.17 *C, Radon STA: 73 Bq/m3, Radon LTA: 73 Bq/m3
2022-02-10 14:57:14.682917 Humidity: 22.5 %rH, Temperature: 25.14 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 14:58:16.814710 Humidity: 22.5 %rH, Temperature: 25.14 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 14:59:18.935030 Humidity: 22.5 %rH, Temperature: 25.14 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:00:21.122578 Humidity: 22.5 %rH, Temperature: 25.14 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:01:23.655575 Humidity: 22.5 %rH, Temperature: 25.14 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:02:25.755654 Humidity: 23.0 %rH, Temperature: 25.13 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:03:27.794256 Humidity: 23.0 %rH, Temperature: 25.13 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:04:29.857518 Humidity: 23.0 %rH, Temperature: 25.13 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:05:31.905184 Humidity: 23.0 %rH, Temperature: 25.13 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:06:34.043389 Humidity: 23.0 %rH, Temperature: 25.15 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:07:36.114645 Humidity: 23.0 %rH, Temperature: 25.15 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:08:38.208507 Humidity: 23.0 %rH, Temperature: 25.15 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:09:40.322400 Humidity: 23.0 %rH, Temperature: 25.15 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:10:42.426353 Humidity: 23.0 %rH, Temperature: 25.15 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:11:44.567858 Humidity: 23.5 %rH, Temperature: 25.18 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
2022-02-10 15:12:46.684662 Humidity: 23.5 %rH, Temperature: 25.18 *C, Radon STA: 79 Bq/m3, Radon LTA: 79 Bq/m3
